"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 09","1,115.10","1,098.90","1,130.40","1,085.90","-","1.78%"
"Nov 09","1,095.60","1,036.20","1,113.70","1,029.40","-","5.73%"
"Oct 09","1,036.20","1,054.90","1,101.40","1,020.00","-","-1.98%"
"Sep 09","1,057.10","1,019.50","1,080.20","992.00","-","3.58%"
"Aug 09","1,020.60","990.20","1,039.50","978.50","-","3.35%"
"Jul 09","987.50","920.80","996.70","869.30","-","7.42%"
"Jun 09","919.30","923.30","956.20","888.90","-","0.02%"
"May 09","919.10","872.70","930.20","866.10","-","5.30%"
"Apr 09","872.80","793.60","888.70","783.30","-","9.39%"
"Mar 09","797.90","729.60","833.00","666.80","-","8.54%"
"Feb 09","735.10","823.10","875.00","734.50","-","-10.99%"
"Jan 09","825.90","903.00","943.90","804.30","-","-8.56%"
"Dec 08","903.20","888.60","918.90","815.70","-","0.78%"
"Nov 08","896.20","968.70","1,007.50","741.00","-","-7.49%"
"Oct 08","968.80","1,164.20","1,167.00","839.80","-","-16.94%"
"Sep 08","1,166.40","1,287.80","1,303.00","1,106.40","-","-9.07%"
"Aug 08","1,282.80","1,269.40","1,313.20","1,247.50","-","1.22%"
"Jul 08","1,267.40","1,276.70","1,292.20","1,200.40","-","-0.98%"
"Jun 08","1,280.00","1,399.60","1,404.00","1,272.00","-","-8.60%"
"May 08","1,400.40","1,386.00","1,440.20","1,373.10","-","1.07%"
"Apr 08","1,385.60","1,326.40","1,404.60","1,324.30","-","4.76%"
"Mar 08","1,322.70","1,330.50","1,359.70","1,257.00","-","-0.59%"
"Feb 08","1,330.60","1,378.60","1,396.00","1,316.80","-","-3.47%"
"Jan 08","1,378.50","1,468.00","1,471.80","1,270.00","-","-6.12%"
"Dec 07","1,468.40","1,479.60","1,523.60","1,435.70","-","-0.86%"
"Nov 07","1,481.10","1,545.80","1,545.80","1,406.10","-","-4.41%"
"Oct 07","1,549.40","1,527.30","1,576.10","1,489.60","-","1.48%"
"Sep 07","1,526.80","1,474.00","1,538.70","1,439.30","-","3.58%"
"Aug 07","1,474.00","1,455.20","1,503.90","1,370.60","-","1.28%"
"Jul 07","1,455.30","1,504.70","1,555.90","1,454.20","-","-3.19%"
"Jun 07","1,503.30","1,530.60","1,540.60","1,484.20","-","-1.78%"
"May 07","1,530.60","1,482.40","1,535.60","1,476.70","-","3.25%"
"Apr 07","1,482.40","1,420.80","1,498.00","1,416.40","-","4.33%"
"Mar 07","1,420.90","1,406.80","1,438.90","1,364.00","-","1.00%"
"Feb 07","1,406.80","1,437.90","1,461.60","1,389.40","-","-2.18%"
"Jan 07","1,438.20","1,418.00","1,441.60","1,404.00","-","1.40%"
"Dec 06","1,418.30","1,400.60","1,431.80","1,385.90","-","1.26%"
"Nov 06","1,400.60","1,377.80","1,407.90","1,361.00","-","1.65%"
"Oct 06","1,377.90","1,335.80","1,389.50","1,327.10","-","3.15%"
"Sep 06","1,335.80","1,303.80","1,340.30","1,290.90","-","2.45%"
"Aug 06","1,303.80","1,278.50","1,306.70","1,261.30","-","2.12%"
"Jul 06","1,276.70","1,270.10","1,280.40","1,224.50","-","0.51%"
"Jun 06","1,270.20","1,270.00","1,290.70","1,219.30","-","0.01%"
"May 06","1,270.10","1,310.60","1,326.70","1,245.30","-","-3.09%"
"Apr 06","1,310.60","1,302.90","1,318.20","1,280.70","-","1.22%"
"Mar 06","1,294.80","1,280.70","1,310.90","1,268.40","-","1.10%"
"Feb 06","1,280.70","1,280.10","1,297.60","1,253.60","-","0.05%"
"Jan 06","1,280.10","1,248.30","1,294.90","1,245.70","-","2.55%"
"Dec 05","1,248.30","1,249.50","1,275.80","1,246.60","-","-0.10%"
"Nov 05","1,249.50","1,207.00","1,270.60","1,201.10","-","3.52%"
"Oct 05","1,207.00","1,228.80","1,233.30","1,168.20","-","-1.77%"
"Sep 05","1,228.80","1,220.30","1,243.10","1,205.30","-","0.70%"
"Aug 05","1,220.30","1,234.20","1,245.90","1,201.10","-","-1.13%"
"Jul 05","1,234.20","1,191.30","1,245.20","1,183.50","-","3.60%"
"Jun 05","1,191.30","1,191.50","1,219.60","1,188.30","-","-0.02%"
"May 05","1,191.50","1,156.80","1,199.60","1,146.20","-","3.00%"
"Apr 05","1,156.80","1,180.60","1,191.90","1,136.20","-","-2.02%"
"Mar 05","1,180.60","1,203.60","1,229.10","1,163.70","-","-1.91%"
"Feb 05","1,203.60","1,181.30","1,212.40","1,181.00","-","1.89%"
"Jan 05","1,181.30","1,211.90","1,217.90","1,163.80","-","-2.52%"
"Dec 04","1,211.90","1,173.80","1,217.30","1,173.80","-","3.25%"
"Nov 04","1,173.80","1,130.20","1,188.50","1,127.50","-","3.86%"
"Oct 04","1,130.20","1,114.60","1,142.00","1,090.20","-","1.40%"
"Sep 04","1,114.60","1,104.20","1,131.50","1,099.10","-","0.94%"
"Aug 04","1,104.20","1,101.70","1,109.70","1,060.70","-","0.23%"
"Jul 04","1,101.70","1,140.80","1,140.80","1,078.80","-","-3.43%"
"Jun 04","1,140.80","1,120.70","1,146.30","1,113.30","-","1.79%"
"May 04","1,120.70","1,107.30","1,127.70","1,076.30","-","1.21%"
"Apr 04","1,107.30","1,126.20","1,150.60","1,107.20","-","-1.68%"
"Mar 04","1,126.20","1,144.90","1,163.20","1,087.10","-","-1.63%"
"Feb 04","1,144.90","1,131.10","1,159.00","1,124.40","-","1.22%"
"Jan 04","1,131.10","1,111.90","1,155.40","1,105.10","-","1.73%"
"Dec 03","1,111.90","1,058.20","1,112.60","1,053.40","-","5.07%"
"Nov 03","1,058.20","1,050.70","1,063.70","1,031.20","-","0.71%"
"Oct 03","1,050.70","996.00","1,053.80","996.00","-","5.49%"
"Sep 03","996.00","1,008.00","1,040.30","990.40","-","-1.19%"
"Aug 03","1,008.00","990.30","1,011.00","960.80","-","1.79%"
"Jul 03","990.30","974.50","1,015.40","962.10","-","1.62%"
"Jun 03","974.50","963.60","1,015.30","963.60","-","1.13%"
"May 03","963.60","916.90","965.40","902.80","-","5.09%"
"Apr 03","916.90","848.20","924.20","847.90","-","8.10%"
"Mar 03","848.20","841.10","895.90","788.90","-","0.84%"
"Feb 03","841.10","855.70","864.60","806.30","-","-1.71%"
"Jan 03","855.70","879.80","935.00","840.30","-","-2.74%"
"Dec 02","879.80","936.30","954.30","869.50","-","-6.03%"
"Nov 02","936.30","885.80","941.80","872.00","-","5.70%"
"Oct 02","885.80","815.30","907.40","768.60","-","8.65%"
"Sep 02","815.30","916.10","924.00","800.20","-","-11.00%"
"Aug 02","916.10","911.60","965.00","833.40","-","0.49%"
"Jul 02","911.60","989.80","994.50","775.70","-","-7.90%"
"Jun 02","989.80","1,067.10","1,070.70","952.90","-","-7.24%"
"May 02","1,067.10","1,076.90","1,106.60","1,049.00","-","-0.91%"
"Apr 02","1,076.90","1,146.00","1,147.80","1,063.50","-","-6.14%"
"Mar 02","1,147.40","1,108.70","1,173.90","1,108.70","-","3.68%"
"Feb 02","1,106.70","1,127.40","1,130.20","1,074.40","-","-2.08%"
"Jan 02","1,130.20","1,149.00","1,177.00","1,081.70","-","-1.56%"
"Dec 01","1,148.10","1,139.50","1,173.60","1,114.50","-","0.75%"
"Nov 01","1,139.50","1,063.10","1,163.40","1,054.30","-","7.52%"
"Oct 01","1,059.80","1,037.90","1,110.60","1,026.80","-","1.82%"
"Sep 01","1,040.90","1,133.60","1,155.40","944.80","-","-8.18%"
"Aug 01","1,133.60","1,211.20","1,226.30","1,124.90","-","-6.41%"
"Jul 01","1,211.20","1,224.40","1,239.80","1,165.50","-","-1.08%"
"Jun 01","1,224.40","1,255.80","1,286.60","1,203.00","-","-2.50%"
"May 01","1,255.80","1,249.50","1,315.90","1,232.00","-","0.50%"
"Apr 01","1,249.50","1,160.30","1,269.30","1,092.00","-","7.69%"
"Mar 01","1,160.30","1,239.90","1,267.40","1,081.20","-","-6.42%"
"Feb 01","1,239.90","1,366.00","1,376.40","1,215.40","-","-9.23%"
"Jan 01","1,366.00","1,320.30","1,383.40","1,274.60","-","3.46%"
"Dec 00","1,320.30","1,315.00","1,389.00","1,254.10","-","0.40%"
"Nov 00","1,315.00","1,429.40","1,438.50","1,294.90","-","-8.00%"
"Oct 00","1,429.40","1,436.50","1,454.80","1,305.80","-","-0.49%"
"Sep 00","1,436.50","1,517.70","1,530.00","1,419.50","-","-5.35%"
"Aug 00","1,517.70","1,430.80","1,525.30","1,426.00","-","6.07%"
"Jul 00","1,430.80","1,454.60","1,517.20","1,414.20","-","-1.64%"
"Jun 00","1,454.60","1,420.60","1,489.00","1,420.60","-","2.39%"
"May 00","1,420.60","1,452.40","1,481.40","1,361.20","-","-2.19%"
"Apr 00","1,452.40","1,498.60","1,527.10","1,339.40","-","-3.08%"
"Mar 00","1,498.60","1,366.40","1,553.10","1,346.50","-","9.68%"
"Feb 00","1,366.40","1,394.50","1,444.40","1,325.00","-","-2.02%"
"Jan 00","1,394.50","1,469.20","1,478.00","1,350.00","-","-5.08%"
"Dec 99","1,469.20","1,388.90","1,473.10","1,387.50","-","5.78%"
"Nov 99","1,388.90","1,362.90","1,425.30","1,346.40","-","1.91%"
"Oct 99","1,362.90","1,282.70","1,373.20","1,233.70","-","6.25%"
"Sep 99","1,282.70","1,320.40","1,361.30","1,256.30","-","-2.86%"
"Aug 99","1,320.40","1,328.70","1,382.80","1,267.70","-","-0.62%"
"Jul 99","1,328.70","1,372.70","1,420.30","1,328.50","-","-3.21%"
"Jun 99","1,372.70","1,301.80","1,372.90","1,277.50","-","5.45%"
"May 99","1,301.80","1,335.20","1,376.00","1,277.30","-","-2.50%"
"Apr 99","1,335.20","1,286.40","1,371.60","1,282.60","-","3.79%"
"Mar 99","1,286.40","1,238.30","1,323.80","1,216.00","-","3.88%"
"Feb 99","1,238.30","1,279.60","1,283.80","1,211.90","-","-3.23%"
"Jan 99","1,279.60","1,229.20","1,280.40","1,205.50","-","4.10%"
"Dec 98","1,229.20","1,163.60","1,244.90","1,136.90","-","5.64%"
"Nov 98","1,163.60","1,098.70","1,193.00","1,098.70","-","5.91%"
"Oct 98","1,098.70","1,017.00","1,103.80","923.30","-","8.03%"
"Sep 98","1,017.00","957.30","1,066.10","940.00","-","6.24%"
"Aug 98","957.30","1,120.70","1,121.80","957.30","-","-14.58%"
"Jul 98","1,120.70","1,133.80","1,190.60","1,114.30","-","-1.16%"
"Jun 98","1,133.80","1,090.80","1,145.20","1,074.70","-","3.94%"
"May 98","1,090.80","1,111.80","1,130.50","1,074.40","-","-1.89%"
"Apr 98","1,111.80","1,101.80","1,133.00","1,076.70","-","0.91%"
"Mar 98","1,101.80","1,049.30","1,113.10","1,030.90","-","5.00%"
"Feb 98","1,049.30","980.30","1,051.70","980.30","-","7.04%"
"Jan 98","980.30","970.40","992.60","912.80","-","1.02%"
"Dec 97","970.40","955.40","986.20","924.90","-","1.57%"
"Nov 97","955.40","914.60","964.50","900.60","-","4.46%"
"Oct 97","914.60","950.90","983.10","855.30","-","-3.45%"
"Sep 97","947.30","899.50","960.60","899.50","-","5.31%"
"Aug 97","899.50","954.30","964.20","893.30","-","-5.74%"
"Jul 97","954.30","885.10","957.70","884.50","-","7.82%"
"Jun 97","885.10","848.30","902.10","838.80","-","4.34%"
"May 97","848.30","801.30","851.90","793.20","-","5.87%"
"Apr 97","801.30","757.10","804.10","733.50","-","5.84%"
"Mar 97","757.10","790.80","814.90","756.10","-","-4.26%"
"Feb 97","790.80","786.20","817.70","773.40","-","0.59%"
"Jan 97","786.20","740.70","794.70","729.50","-","6.14%"
"Dec 96","740.70","757.00","761.80","716.70","-","-2.15%"
"Nov 96","757.00","705.30","762.10","701.30","-","7.33%"
"Oct 96","705.30","687.30","714.10","684.40","-","2.62%"
"Sep 96","687.30","652.00","690.90","644.00","-","5.41%"
"Aug 96","652.00","640.00","670.70","639.50","-","1.88%"
"Jul 96","640.00","670.60","675.90","605.90","-","-4.56%"
"Jun 96","670.60","669.10","680.30","658.80","-","0.22%"
"May 96","669.10","654.20","681.10","630.10","-","2.28%"
"Apr 96","654.20","645.50","656.70","624.10","-","1.35%"
"Mar 96","645.50","640.40","657.00","627.60","-","0.80%"
"Feb 96","640.40","636.00","664.20","633.70","-","0.69%"
"Jan 96","636.00","615.90","636.20","597.30","-","3.26%"
"Dec 95","615.90","605.40","622.90","605.00","-","1.73%"
"Nov 95","605.40","581.50","608.70","581.00","-","4.11%"
"Oct 95","581.50","584.40","590.70","571.50","-","-0.50%"
"Sep 95","584.40","561.90","587.60","561.00","-","4.00%"
"Aug 95","561.90","562.10","565.60","553.00","-","-0.04%"
"Jul 95","562.10","544.80","565.40","542.50","-","3.18%"
"Jun 95","544.80","533.40","551.10","526.00","-","2.14%"
"May 95","533.40","514.80","533.40","513.00","-","3.63%"
"Apr 95","514.70","500.70","515.30","500.20","-","2.80%"
