Reported Date,Bullish,Neutral,Bearish,Total,Mov Avg,Bull-Bear Spread,Bullish Average,
,,,,,,,,
6/26/1987,,,,,,,37.60%,
7/17/1987,,,,,,,37.60%,
7/24/1987,36.00%,50.00%,14.00%,100%,,22.00%,37.60%,
7/31/1987,26.00%,48.00%,26.00%,100%,,0.00%,37.60%,
8/7/1987,56.00%,15.00%,29.00%,100%,,27.00%,37.60%,
8/14/1987,45.00%,35.00%,20.00%,100%,,25.00%,37.60%,
8/21/1987,66.00%,28.00%,6.00%,100%,,60.00%,37.60%,
8/28/1987,52.00%,18.00%,30.00%,100%,,22.00%,37.60%,
9/4/1987,42.00%,17.00%,41.00%,100%,,1.00%,37.60%,
9/11/1987,50.00%,23.00%,27.00%,100%,46.63%,23.00%,37.60%,
9/18/1987,60.00%,29.00%,11.00%,100%,49.63%,49.00%,37.60%,
9/25/1987,53.00%,17.00%,30.00%,100%,53.00%,23.00%,37.60%,
10/2/1987,44.00%,26.00%,30.00%,100%,51.50%,14.00%,37.60%,
10/9/1987,46.00%,39.00%,15.00%,100%,51.63%,31.00%,37.60%,
10/16/1987,37.00%,30.00%,33.00%,100%,48.00%,4.00%,37.60%,
10/23/1987,39.00%,30.00%,31.00%,100%,46.38%,8.00%,37.60%,
10/30/1987,44.00%,23.00%,33.00%,100%,46.63%,11.00%,37.60%,
11/6/1987,47.00%,31.00%,22.00%,100%,46.25%,25.00%,37.60%,
11/13/1987,31.00%,41.00%,28.00%,100%,42.63%,3.00%,37.60%,
11/20/1987,39.00%,42.00%,19.00%,100%,40.88%,20.00%,37.60%,
11/27/1987,27.00%,46.00%,27.00%,100%,38.75%,0.00%,37.60%,
12/4/1987,25.00%,33.00%,42.00%,100%,36.13%,-17.00%,37.60%,
12/11/1987,23.00%,45.00%,32.00%,100%,34.38%,-9.00%,37.60%,
12/18/1987,33.00%,40.00%,27.00%,100%,33.63%,6.00%,37.60%,
12/24/1987,28.00%,52.00%,20.00%,100%,31.63%,8.00%,37.60%,
12/31/1987,25.00%,49.00%,26.00%,100%,28.88%,-1.00%,37.60%,
1/8/1988,34.00%,46.00%,20.00%,100%,29.25%,14.00%,37.60%,
1/15/1988,34.00%,40.00%,26.00%,100%,28.63%,8.00%,37.60%,
1/22/1988,21.00%,48.00%,31.00%,100%,27.88%,-10.00%,37.60%,
1/29/1988,26.00%,45.00%,29.00%,100%,28.00%,-3.00%,37.60%,
2/5/1988,32.00%,53.00%,15.00%,100%,29.13%,17.00%,37.60%,
2/12/1988,32.00%,46.00%,22.00%,100%,29.00%,10.00%,37.60%,
2/19/1988,27.00%,49.00%,24.00%,100%,28.88%,3.00%,37.60%,
2/26/1988,30.00%,51.00%,19.00%,100%,29.50%,11.00%,37.60%,
3/4/1988,38.00%,40.00%,22.00%,100%,30.00%,16.00%,37.60%,
3/11/1988,43.00%,40.00%,17.00%,100%,31.13%,26.00%,37.60%,
3/18/1988,41.00%,49.00%,10.00%,100%,33.63%,31.00%,37.60%,
3/25/1988,45.00%,38.00%,17.00%,100%,36.00%,28.00%,37.60%,
4/1/1988,35.00%,45.00%,20.00%,100%,36.38%,15.00%,37.60%,
4/8/1988,33.00%,48.00%,19.00%,100%,36.50%,14.00%,37.60%,
4/15/1988,23.00%,53.00%,24.00%,100%,36.00%,-1.00%,37.60%,
4/22/1988,23.00%,57.00%,20.00%,100%,35.13%,3.00%,37.60%,
4/29/1988,22.00%,48.00%,30.00%,100%,33.13%,-8.00%,37.60%,
5/6/1988,38.00%,42.00%,20.00%,100%,32.50%,18.00%,37.60%,
5/13/1988,19.00%,56.00%,25.00%,100%,29.75%,-6.00%,37.60%,
5/20/1988,23.00%,52.00%,25.00%,100%,27.00%,-2.00%,37.60%,
5/27/1988,28.00%,52.00%,20.00%,100%,26.13%,8.00%,37.60%,
6/3/1988,26.00%,62.00%,12.00%,100%,25.25%,14.00%,37.60%,
6/10/1988,28.00%,49.00%,23.00%,100%,25.88%,5.00%,37.60%,
6/17/1988,29.00%,50.00%,21.00%,100%,26.63%,8.00%,37.60%,
6/24/1988,33.00%,44.00%,23.00%,100%,28.00%,10.00%,37.60%,
7/1/1988,45.00%,38.00%,17.00%,100%,28.88%,28.00%,37.60%,
7/8/1988,35.00%,50.00%,15.00%,100%,30.88%,20.00%,37.60%,
7/15/1988,26.00%,37.00%,37.00%,100%,31.25%,-11.00%,37.60%,
7/22/1988,16.00%,58.00%,26.00%,100%,29.75%,-10.00%,37.60%,
7/29/1988,23.00%,54.00%,23.00%,100%,29.38%,0.00%,37.60%,
8/5/1988,21.00%,49.00%,30.00%,100%,28.50%,-9.00%,37.60%,
8/12/1988,26.00%,48.00%,26.00%,100%,28.13%,0.00%,37.60%,
8/19/1988,19.00%,53.00%,28.00%,100%,26.38%,-9.00%,37.60%,
8/26/1988,28.00%,40.00%,32.00%,100%,24.25%,-4.00%,37.60%,
9/2/1988,18.00%,43.00%,39.00%,100%,22.13%,-21.00%,37.60%,
9/9/1988,17.00%,52.00%,31.00%,100%,21.00%,-14.00%,37.60%,
9/16/1988,24.00%,46.00%,30.00%,100%,22.00%,-6.00%,37.60%,
9/23/1988,20.00%,53.00%,27.00%,100%,21.63%,-7.00%,37.60%,
9/30/1988,26.00%,44.00%,30.00%,100%,22.25%,-4.00%,37.60%,
10/7/1988,13.00%,49.00%,38.00%,100%,20.63%,-25.00%,37.60%,
10/14/1988,22.00%,46.00%,32.00%,100%,21.00%,-10.00%,37.60%,
10/21/1988,26.00%,51.00%,23.00%,100%,20.75%,3.00%,37.60%,
10/28/1988,40.00%,38.00%,22.00%,100%,23.50%,18.00%,37.60%,
11/4/1988,35.00%,46.00%,19.00%,100%,25.75%,16.00%,37.60%,
11/11/1988,23.00%,56.00%,21.00%,100%,25.63%,2.00%,37.60%,
11/18/1988,30.00%,34.00%,36.00%,100%,26.88%,-6.00%,37.60%,
11/25/1988,17.00%,44.00%,39.00%,100%,25.75%,-22.00%,37.60%,
12/2/1988,19.00%,47.00%,34.00%,100%,26.50%,-15.00%,37.60%,
12/9/1988,17.00%,44.00%,39.00%,100%,25.88%,-22.00%,37.60%,
12/16/1988,24.00%,54.00%,22.00%,100%,25.63%,2.00%,37.60%,
12/23/1988,22.00%,46.00%,32.00%,100%,23.38%,-10.00%,37.60%,
12/30/1988,24.00%,54.00%,22.00%,100%,22.00%,2.00%,37.60%,
1/6/1989,26.00%,51.00%,23.00%,100%,22.38%,3.00%,37.60%,
1/13/1989,36.00%,44.00%,20.00%,100%,23.13%,16.00%,37.60%,
1/20/1989,36.00%,47.00%,17.00%,100%,25.50%,19.00%,37.60%,
1/27/1989,32.00%,49.00%,19.00%,100%,27.13%,13.00%,37.60%,
2/3/1989,33.00%,44.00%,23.00%,100%,29.13%,10.00%,37.60%,
2/10/1989,43.00%,31.00%,26.00%,100%,31.50%,17.00%,37.60%,
2/17/1989,42.00%,41.00%,17.00%,100%,34.00%,25.00%,37.60%,
2/24/1989,29.00%,45.00%,26.00%,100%,34.63%,3.00%,37.60%,
3/3/1989,29.00%,35.00%,36.00%,100%,35.00%,-7.00%,37.60%,
3/10/1989,13.00%,52.00%,35.00%,100%,32.13%,-22.00%,37.60%,
3/17/1989,28.00%,43.00%,29.00%,100%,31.13%,-1.00%,37.60%,
3/23/1989,29.00%,41.00%,30.00%,100%,30.75%,-1.00%,37.60%,
3/31/1989,18.00%,42.00%,40.00%,100%,28.88%,-22.00%,37.60%,
4/7/1989,23.00%,45.00%,32.00%,100%,26.38%,-9.00%,37.60%,
4/14/1989,25.00%,42.00%,33.00%,100%,24.25%,-8.00%,37.60%,
4/21/1989,21.00%,51.00%,28.00%,100%,23.25%,-7.00%,37.60%,
4/28/1989,31.00%,40.00%,29.00%,100%,23.50%,2.00%,37.60%,
5/5/1989,30.00%,40.00%,30.00%,100%,25.63%,0.00%,37.60%,
5/12/1989,38.00%,43.00%,19.00%,100%,26.88%,19.00%,37.60%,
5/19/1989,43.00%,38.00%,19.00%,100%,28.63%,24.00%,37.60%,
5/26/1989,48.00%,31.00%,21.00%,100%,32.38%,27.00%,37.60%,
6/2/1989,42.00%,27.00%,31.00%,100%,34.75%,11.00%,37.60%,
6/9/1989,43.00%,34.00%,23.00%,100%,37.00%,20.00%,37.60%,
6/16/1989,32.00%,37.00%,31.00%,100%,38.38%,1.00%,37.60%,
6/23/1989,33.00%,22.00%,45.00%,100%,38.63%,-12.00%,37.60%,
6/30/1989,40.00%,34.00%,26.00%,100%,39.88%,14.00%,37.60%,
7/7/1989,37.00%,32.00%,31.00%,100%,39.75%,6.00%,37.60%,
7/14/1989,22.00%,30.00%,48.00%,100%,37.13%,-26.00%,37.60%,
7/21/1989,32.00%,39.00%,29.00%,100%,35.13%,3.00%,37.60%,
7/28/1989,41.00%,25.00%,34.00%,100%,35.00%,7.00%,37.60%,
8/4/1989,35.00%,30.00%,35.00%,100%,34.00%,0.00%,37.60%,
8/11/1989,53.00%,21.00%,26.00%,100%,36.63%,27.00%,37.60%,
8/18/1989,35.00%,28.00%,37.00%,100%,36.88%,-2.00%,37.60%,
8/25/1989,45.00%,24.00%,31.00%,100%,37.50%,14.00%,37.60%,
9/1/1989,34.00%,30.00%,36.00%,100%,37.13%,-2.00%,37.60%,
9/8/1989,30.00%,30.00%,40.00%,100%,38.13%,-10.00%,37.60%,
9/15/1989,31.00%,44.00%,25.00%,100%,38.00%,6.00%,37.60%,
9/22/1989,24.00%,37.00%,39.00%,100%,35.88%,-15.00%,37.60%,
9/29/1989,33.00%,38.00%,29.00%,100%,35.63%,4.00%,37.60%,
10/6/1989,24.00%,43.00%,33.00%,100%,32.00%,-9.00%,37.60%,
10/13/1989,28.00%,52.00%,20.00%,100%,31.13%,8.00%,37.60%,
10/20/1989,39.00%,28.00%,33.00%,100%,30.38%,6.00%,37.60%,
10/27/1989,36.00%,33.00%,31.00%,100%,30.63%,5.00%,37.60%,
11/3/1989,37.00%,31.00%,32.00%,100%,31.50%,5.00%,37.60%,
11/10/1989,27.00%,37.00%,36.00%,100%,31.00%,-9.00%,37.60%,
11/17/1989,24.00%,28.00%,48.00%,100%,31.00%,-24.00%,37.60%,
11/22/1989,27.00%,40.00%,33.00%,100%,30.25%,-6.00%,37.60%,
12/1/1989,28.00%,40.00%,32.00%,100%,30.75%,-4.00%,37.60%,
12/8/1989,31.00%,41.00%,28.00%,100%,31.13%,3.00%,37.60%,
12/15/1989,42.00%,30.00%,28.00%,100%,31.50%,14.00%,37.60%,
12/22/1989,36.00%,32.00%,32.00%,100%,31.50%,4.00%,37.60%,
12/29/1989,35.00%,31.00%,34.00%,100%,31.25%,1.00%,37.60%,
1/5/1990,40.00%,30.00%,30.00%,100%,32.88%,10.00%,37.60%,
1/12/1990,45.00%,38.00%,17.00%,100%,35.50%,28.00%,37.60%,
1/19/1990,31.00%,49.00%,20.00%,100%,36.00%,11.00%,37.60%,
1/26/1990,24.00%,38.00%,38.00%,100%,35.50%,-14.00%,37.60%,
2/2/1990,15.00%,37.00%,48.00%,100%,33.50%,-33.00%,37.60%,
2/9/1990,19.00%,30.00%,51.00%,100%,30.63%,-32.00%,37.60%,
2/16/1990,23.00%,43.00%,34.00%,100%,29.00%,-11.00%,37.60%,
2/23/1990,24.00%,38.00%,38.00%,100%,27.63%,-14.00%,37.60%,
3/2/1990,21.00%,37.00%,42.00%,100%,25.25%,-21.00%,37.60%,
3/9/1990,22.00%,42.00%,36.00%,100%,22.38%,-14.00%,37.60%,
3/16/1990,25.00%,35.00%,40.00%,100%,21.63%,-15.00%,37.60%,
3/23/1990,37.00%,39.00%,24.00%,100%,23.25%,13.00%,37.60%,
3/30/1990,34.00%,35.00%,31.00%,100%,25.63%,3.00%,37.60%,
4/6/1990,38.00%,37.00%,25.00%,100%,28.00%,13.00%,37.60%,
4/12/1990,27.00%,56.00%,17.00%,100%,28.50%,10.00%,37.60%,
4/20/1990,34.00%,43.00%,23.00%,100%,29.75%,11.00%,37.60%,
4/27/1990,28.00%,35.00%,37.00%,100%,30.63%,-9.00%,37.60%,
5/4/1990,20.00%,35.00%,45.00%,100%,30.38%,-25.00%,37.60%,
5/11/1990,28.00%,38.00%,34.00%,100%,30.75%,-6.00%,37.60%,
5/18/1990,37.00%,35.00%,28.00%,100%,30.75%,9.00%,37.60%,
5/25/1990,39.00%,32.00%,29.00%,100%,31.38%,10.00%,37.60%,
6/1/1990,37.00%,28.00%,35.00%,100%,31.25%,2.00%,37.60%,
6/8/1990,35.00%,35.00%,30.00%,100%,32.25%,5.00%,37.60%,
6/15/1990,43.00%,32.00%,25.00%,100%,33.38%,18.00%,37.60%,
6/22/1990,34.00%,32.00%,34.00%,100%,34.13%,0.00%,37.60%,
6/29/1990,31.00%,31.00%,38.00%,100%,35.50%,-7.00%,37.60%,
7/6/1990,28.00%,34.00%,38.00%,100%,35.50%,-10.00%,37.60%,
7/13/1990,40.00%,30.00%,30.00%,100%,35.88%,10.00%,37.60%,
7/20/1990,40.00%,30.00%,30.00%,100%,36.00%,10.00%,37.60%,
7/27/1990,52.00%,24.00%,24.00%,100%,37.88%,28.00%,37.60%,
8/3/1990,26.00%,28.00%,46.00%,100%,36.75%,-20.00%,37.60%,
8/10/1990,25.00%,21.00%,54.00%,100%,34.50%,-29.00%,37.60%,
8/17/1990,18.00%,23.00%,59.00%,100%,32.50%,-41.00%,37.60%,
8/24/1990,25.00%,24.00%,51.00%,100%,31.75%,-26.00%,37.60%,
8/31/1990,23.00%,16.00%,61.00%,100%,31.13%,-38.00%,37.60%,
9/7/1990,33.00%,18.00%,49.00%,100%,30.25%,-16.00%,37.60%,
9/14/1990,16.00%,33.00%,51.00%,100%,27.25%,-35.00%,37.60%,
9/21/1990,13.00%,31.00%,56.00%,100%,22.38%,-43.00%,37.60%,
9/28/1990,26.00%,20.00%,54.00%,100%,22.38%,-28.00%,37.60%,
10/5/1990,15.00%,26.00%,59.00%,100%,21.13%,-44.00%,37.60%,
10/12/1990,21.00%,27.00%,52.00%,100%,21.50%,-31.00%,37.60%,
10/19/1990,13.00%,20.00%,67.00%,100%,20.00%,-54.00%,37.60%,
10/26/1990,23.00%,19.00%,58.00%,100%,20.00%,-35.00%,37.60%,
11/2/1990,20.00%,36.00%,44.00%,100%,18.38%,-24.00%,37.60%,
11/9/1990,20.00%,32.00%,48.00%,100%,18.88%,-28.00%,37.60%,
11/16/1990,12.00%,33.00%,55.00%,100%,18.75%,-43.00%,37.60%,
11/21/1990,16.00%,37.00%,47.00%,100%,17.50%,-31.00%,37.60%,
11/30/1990,22.00%,33.00%,45.00%,100%,18.38%,-23.00%,37.60%,
12/7/1990,26.00%,33.00%,41.00%,100%,19.00%,-15.00%,37.60%,
12/14/1990,31.00%,31.00%,38.00%,100%,21.25%,-7.00%,37.60%,
12/21/1990,16.00%,34.00%,50.00%,100%,20.38%,-34.00%,37.60%,
12/28/1990,30.00%,30.00%,40.00%,100%,21.63%,-10.00%,37.60%,
1/4/1991,31.00%,39.00%,30.00%,100%,23.00%,1.00%,37.60%,
1/11/1991,22.00%,30.00%,48.00%,100%,24.25%,-26.00%,37.60%,
1/18/1991,22.00%,27.00%,51.00%,100%,25.00%,-29.00%,37.60%,
1/25/1991,25.00%,25.00%,50.00%,100%,25.38%,-25.00%,37.60%,
2/1/1991,29.00%,29.00%,42.00%,100%,25.75%,-13.00%,37.60%,
2/8/1991,36.00%,28.00%,36.00%,100%,26.38%,0.00%,37.60%,
2/15/1991,46.00%,30.00%,24.00%,100%,30.13%,22.00%,37.60%,
2/22/1991,57.00%,20.00%,23.00%,100%,33.50%,34.00%,37.60%,
3/1/1991,50.00%,18.00%,32.00%,100%,35.88%,18.00%,37.60%,
3/8/1991,50.00%,21.00%,29.00%,100%,39.38%,21.00%,37.60%,
3/15/1991,55.00%,22.00%,23.00%,100%,43.50%,32.00%,37.60%,
3/22/1991,42.00%,31.00%,27.00%,100%,45.63%,15.00%,37.60%,
3/29/1991,47.00%,28.00%,25.00%,100%,47.88%,22.00%,37.60%,
4/5/1991,58.00%,22.00%,20.00%,100%,50.63%,38.00%,37.60%,
4/12/1991,43.00%,32.00%,25.00%,100%,50.25%,18.00%,37.60%,
4/19/1991,39.00%,39.00%,22.00%,100%,48.00%,17.00%,37.60%,
4/26/1991,55.00%,28.00%,17.00%,100%,48.63%,38.00%,37.60%,
5/3/1991,39.00%,33.00%,28.00%,100%,47.25%,11.00%,37.60%,
5/10/1991,38.00%,34.00%,28.00%,100%,45.13%,10.00%,37.60%,
5/17/1991,42.00%,32.00%,26.00%,100%,45.13%,16.00%,37.60%,
5/24/1991,38.00%,39.00%,23.00%,100%,44.00%,15.00%,37.60%,
5/31/1991,42.00%,35.00%,23.00%,100%,42.00%,19.00%,37.60%,
6/7/1991,46.00%,37.00%,17.00%,100%,42.38%,29.00%,37.60%,
6/14/1991,47.00%,31.00%,22.00%,100%,43.38%,25.00%,37.60%,
6/21/1991,44.00%,40.00%,16.00%,100%,42.00%,28.00%,37.60%,
6/28/1991,28.00%,37.00%,35.00%,100%,40.63%,-7.00%,37.60%,
7/3/1991,28.00%,39.00%,33.00%,100%,39.38%,-5.00%,37.60%,
7/12/1991,41.00%,39.00%,20.00%,100%,39.25%,21.00%,37.60%,
7/19/1991,27.00%,51.00%,22.00%,100%,37.88%,5.00%,37.60%,
7/26/1991,35.00%,42.00%,23.00%,100%,37.00%,12.00%,37.60%,
8/2/1991,33.00%,36.00%,31.00%,100%,35.38%,2.00%,37.60%,
8/9/1991,26.00%,45.00%,29.00%,100%,32.75%,-3.00%,37.60%,
8/16/1991,37.00%,33.00%,30.00%,100%,31.88%,7.00%,37.60%,
8/23/1991,32.00%,36.00%,32.00%,100%,32.38%,0.00%,37.60%,
8/30/1991,41.00%,40.00%,19.00%,100%,34.00%,22.00%,37.60%,
9/6/1991,36.00%,31.00%,33.00%,100%,33.38%,3.00%,37.60%,
9/13/1991,43.00%,39.00%,18.00%,100%,35.38%,25.00%,37.60%,
9/20/1991,32.00%,48.00%,20.00%,100%,35.00%,12.00%,37.60%,
9/27/1991,31.00%,38.00%,31.00%,100%,34.75%,0.00%,37.60%,
10/4/1991,35.00%,30.00%,35.00%,100%,35.88%,0.00%,37.60%,
10/11/1991,39.00%,37.00%,24.00%,100%,36.13%,15.00%,37.60%,
10/18/1991,30.00%,31.00%,39.00%,100%,35.88%,-9.00%,37.60%,
10/25/1991,31.00%,36.00%,33.00%,100%,34.63%,-2.00%,37.60%,
11/1/1991,52.00%,12.00%,36.00%,100%,36.63%,16.00%,37.60%,
11/8/1991,32.00%,36.00%,32.00%,100%,35.25%,0.00%,37.60%,
11/15/1991,38.00%,33.00%,29.00%,100%,36.00%,9.00%,37.60%,
11/22/1991,48.00%,32.00%,20.00%,100%,38.13%,28.00%,37.60%,
11/27/1991,33.00%,27.00%,40.00%,100%,37.88%,-7.00%,37.60%,
12/6/1991,23.00%,32.00%,45.00%,100%,35.88%,-22.00%,37.60%,
12/13/1991,33.00%,36.00%,31.00%,100%,36.25%,2.00%,37.60%,
12/20/1991,36.00%,30.00%,34.00%,100%,36.88%,2.00%,37.60%,
12/27/1991,39.00%,29.00%,32.00%,100%,35.25%,7.00%,37.60%,
1/3/1992,49.00%,20.00%,31.00%,100%,37.38%,18.00%,37.60%,
1/10/1992,48.00%,27.00%,25.00%,100%,38.63%,23.00%,37.60%,
1/17/1992,51.00%,21.00%,28.00%,100%,39.00%,23.00%,37.60%,
1/24/1992,46.00%,25.00%,29.00%,100%,40.63%,17.00%,37.60%,
1/31/1992,47.00%,26.00%,27.00%,100%,43.63%,20.00%,37.60%,
2/7/1992,36.00%,39.00%,25.00%,100%,44.00%,11.00%,37.60%,
2/14/1992,46.00%,28.00%,26.00%,100%,45.25%,20.00%,37.60%,
2/21/1992,47.00%,25.00%,28.00%,100%,46.25%,19.00%,37.60%,
2/28/1992,43.00%,36.00%,21.00%,100%,45.50%,22.00%,37.60%,
3/6/1992,45.00%,29.00%,26.00%,100%,45.13%,19.00%,37.60%,
3/13/1992,38.00%,35.00%,27.00%,100%,43.50%,11.00%,37.60%,
3/20/1992,48.00%,29.00%,23.00%,100%,43.75%,25.00%,37.60%,
3/27/1992,43.00%,35.00%,22.00%,100%,43.25%,21.00%,37.60%,
4/3/1992,35.00%,42.00%,23.00%,100%,43.13%,12.00%,37.60%,
4/10/1992,43.00%,27.00%,30.00%,100%,42.75%,13.00%,37.60%,
4/17/1992,37.00%,38.00%,25.00%,100%,41.50%,12.00%,37.60%,
4/24/1992,52.00%,34.00%,14.00%,100%,42.63%,38.00%,37.60%,
5/1/1992,29.00%,36.00%,35.00%,100%,40.63%,-6.00%,37.60%,
5/8/1992,43.00%,31.00%,26.00%,100%,41.25%,17.00%,37.60%,
5/15/1992,40.00%,37.00%,23.00%,100%,40.25%,17.00%,37.60%,
5/22/1992,48.00%,24.00%,28.00%,100%,40.88%,20.00%,37.60%,
5/29/1992,41.00%,43.00%,16.00%,100%,41.63%,25.00%,37.60%,
6/5/1992,41.00%,40.00%,19.00%,100%,41.38%,22.00%,37.60%,
6/12/1992,31.00%,46.00%,23.00%,100%,40.63%,8.00%,37.60%,
6/19/1992,35.00%,37.00%,28.00%,100%,38.50%,7.00%,37.60%,
6/26/1992,39.00%,34.00%,27.00%,100%,39.75%,12.00%,37.60%,
7/2/1992,21.00%,44.00%,35.00%,100%,37.00%,-14.00%,37.60%,
7/9/1992,23.00%,42.00%,35.00%,100%,34.88%,-12.00%,37.60%,
7/17/1992,29.00%,40.00%,31.00%,100%,32.50%,-2.00%,37.60%,
7/24/1992,32.00%,44.00%,24.00%,100%,31.38%,8.00%,37.60%,
7/31/1992,22.00%,47.00%,31.00%,100%,29.00%,-9.00%,37.60%,
8/5/1992,28.00%,39.00%,33.00%,100%,28.63%,-5.00%,37.60%,
8/14/1992,26.00%,37.00%,37.00%,100%,27.50%,-11.00%,37.60%,
8/21/1992,22.00%,34.00%,44.00%,100%,25.38%,-22.00%,37.60%,
8/28/1992,30.00%,37.00%,33.00%,100%,26.50%,-3.00%,37.60%,
9/4/1992,14.00%,44.00%,42.00%,100%,25.38%,-28.00%,37.60%,
9/11/1992,22.00%,39.00%,39.00%,100%,24.50%,-17.00%,37.60%,
9/18/1992,21.00%,42.00%,37.00%,100%,23.13%,-16.00%,37.60%,
9/25/1992,25.00%,34.00%,41.00%,100%,23.50%,-16.00%,37.60%,
10/2/1992,30.00%,35.00%,35.00%,100%,23.75%,-5.00%,37.60%,
10/9/1992,21.00%,35.00%,44.00%,100%,23.13%,-23.00%,37.60%,
10/16/1992,20.00%,24.00%,56.00%,100%,22.88%,-36.00%,37.60%,
10/23/1992,21.00%,32.00%,47.00%,100%,21.75%,-26.00%,37.60%,
10/30/1992,35.00%,35.00%,30.00%,100%,24.38%,5.00%,37.60%,
11/6/1992,49.00%,27.00%,24.00%,100%,27.75%,25.00%,37.60%,
11/13/1992,37.00%,44.00%,19.00%,100%,29.75%,18.00%,37.60%,
11/20/1992,48.00%,38.00%,14.00%,100%,32.63%,34.00%,37.60%,
11/25/1992,43.00%,37.00%,20.00%,100%,34.25%,23.00%,37.60%,
12/4/1992,37.00%,39.00%,24.00%,100%,36.25%,13.00%,37.60%,
12/11/1992,43.00%,42.00%,15.00%,100%,39.13%,28.00%,37.60%,
12/18/1992,63.00%,27.00%,10.00%,100%,44.38%,53.00%,37.60%,
12/24/1992,55.00%,30.00%,15.00%,100%,46.88%,40.00%,37.60%,
1/1/1993,60.00%,27.00%,13.00%,100%,48.25%,47.00%,37.60%,
1/8/1993,20.00%,49.00%,31.00%,100%,46.13%,-11.00%,37.60%,
1/15/1993,54.00%,32.00%,14.00%,100%,46.88%,40.00%,37.60%,
1/22/1993,41.00%,38.00%,21.00%,100%,46.63%,20.00%,37.60%,
1/29/1993,40.00%,37.00%,23.00%,100%,47.00%,17.00%,37.60%,
2/5/1993,44.00%,34.00%,22.00%,100%,47.13%,22.00%,37.60%,
2/12/1993,47.00%,31.00%,22.00%,100%,45.13%,25.00%,37.60%,
2/19/1993,46.00%,27.00%,27.00%,100%,44.00%,19.00%,37.60%,
2/26/1993,34.00%,32.00%,34.00%,100%,40.75%,0.00%,37.60%,
3/5/1993,27.00%,36.00%,37.00%,100%,41.63%,-10.00%,37.60%,
3/12/1993,45.00%,33.00%,22.00%,100%,40.50%,23.00%,37.60%,
3/19/1993,41.00%,32.00%,27.00%,100%,40.50%,14.00%,37.60%,
3/26/1993,43.00%,34.00%,23.00%,100%,40.88%,20.00%,37.60%,
4/2/1993,37.00%,36.00%,27.00%,100%,40.00%,10.00%,37.60%,
4/9/1993,32.00%,39.00%,29.00%,100%,38.13%,3.00%,37.60%,
4/16/1993,31.00%,35.00%,34.00%,100%,36.25%,-3.00%,37.60%,
4/23/1993,28.00%,42.00%,30.00%,100%,35.50%,-2.00%,37.60%,
4/30/1993,22.00%,37.00%,41.00%,100%,34.88%,-19.00%,37.60%,
5/7/1993,21.00%,45.00%,34.00%,100%,31.88%,-13.00%,37.60%,
5/14/1993,20.00%,41.00%,39.00%,100%,29.25%,-19.00%,37.60%,
5/21/1993,21.00%,34.00%,45.00%,100%,26.50%,-24.00%,37.60%,
5/28/1993,24.00%,37.00%,39.00%,100%,24.88%,-15.00%,37.60%,
6/4/1993,33.00%,39.00%,28.00%,100%,25.00%,5.00%,37.60%,
6/11/1993,23.00%,36.00%,41.00%,100%,24.00%,-18.00%,37.60%,
6/18/1993,22.00%,35.00%,43.00%,100%,23.25%,-21.00%,37.60%,
6/25/1993,28.00%,38.00%,34.00%,100%,24.00%,-6.00%,37.60%,
7/2/1993,18.00%,44.00%,38.00%,100%,23.63%,-20.00%,37.60%,
7/9/1993,21.00%,45.00%,34.00%,100%,23.75%,-13.00%,37.60%,
7/16/1993,22.00%,44.00%,34.00%,100%,23.88%,-12.00%,37.60%,
7/23/1993,24.00%,43.00%,33.00%,100%,23.88%,-9.00%,37.60%,
7/30/1993,25.00%,45.00%,30.00%,100%,22.88%,-5.00%,37.60%,
8/6/1993,26.00%,42.00%,32.00%,100%,23.25%,-6.00%,37.60%,
8/13/1993,25.00%,41.00%,34.00%,100%,23.63%,-9.00%,37.60%,
8/20/1993,29.00%,41.00%,30.00%,100%,23.75%,-1.00%,37.60%,
8/27/1993,27.00%,35.00%,38.00%,100%,24.88%,-11.00%,37.60%,
9/3/1993,38.00%,33.00%,29.00%,100%,27.00%,9.00%,37.60%,
9/10/1993,30.00%,30.00%,40.00%,100%,28.00%,-10.00%,37.60%,
9/17/1993,32.00%,34.00%,34.00%,100%,29.00%,-2.00%,37.60%,
9/24/1993,28.00%,40.00%,32.00%,100%,29.38%,-4.00%,37.60%,
10/1/1993,26.00%,34.00%,40.00%,100%,29.38%,-14.00%,37.60%,
10/8/1993,29.00%,37.00%,34.00%,100%,29.88%,-5.00%,37.60%,
10/15/1993,31.00%,38.00%,31.00%,100%,30.13%,0.00%,37.60%,
10/22/1993,42.00%,30.00%,28.00%,100%,32.00%,14.00%,37.60%,
10/29/1993,43.00%,33.00%,24.00%,100%,32.63%,19.00%,37.60%,
11/4/1993,32.00%,36.00%,32.00%,100%,32.88%,0.00%,37.60%,
11/11/1993,35.00%,30.00%,35.00%,100%,33.25%,0.00%,37.60%,
11/18/1993,34.00%,31.00%,35.00%,100%,34.00%,-1.00%,37.60%,
11/24/1993,45.00%,30.00%,25.00%,100%,36.38%,20.00%,37.60%,
12/2/1993,33.00%,32.00%,35.00%,100%,36.88%,-2.00%,37.60%,
12/9/1993,37.00%,39.00%,24.00%,100%,37.63%,13.00%,37.60%,
12/16/1993,33.00%,38.00%,29.00%,100%,36.50%,4.00%,37.60%,
12/23/1993,36.00%,31.00%,33.00%,100%,35.63%,3.00%,37.60%,
